Class,Pclass,Age,Fare,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other
1,1,36.0,26.3875,1,1,0,1,0,0,1,0,0,1,0,0
0,3,22.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,3,21.0,7.8,1,1,0,1,0,0,1,0,0,1,0,0
0,3,22.0,9.0,1,1,0,1,0,0,1,0,0,1,0,0
0,2,32.0,73.5,3,0,0,1,0,0,1,0,0,1,0,0
0,3,18.0,6.75,1,1,1,0,0,1,0,0,1,0,0,0
0,3,33.0,9.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,42.0,7.55,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,15.5,2,0,1,0,0,1,0,0,1,0,0,0
0,3,24.0,7.05,1,1,0,1,0,0,1,0,0,1,0,0
0,2,54.0,14.0,1,1,0,1,0,0,1,0,0,0,0,1
0,3,31.0,7.775,1,1,0,1,0,0,1,0,0,1,0,0
0,1,19.0,263.0,6,0,0,1,0,0,1,0,0,1,0,0
1,1,62.0,80.0,1,1,1,0,0,0,1,0,0,0,1,0
1,3,0.42,8.5167,2,0,0,1,1,0,0,1,0,0,0,0
1,3,20.0,7.925,2,0,0,1,0,0,1,0,0,1,0,0
1,2,28.0,12.65,1,1,1,0,0,0,1,0,0,0,1,0
0,3,35.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
1,1,23.0,63.3583,2,0,0,1,1,0,0,0,0,1,0,0
1,3,4.0,11.1333,3,0,0,1,0,0,1,1,0,0,0,0
0,3,38.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,2,34.0,13.0,1,1,1,0,0,0,1,0,1,0,0,0
1,1,38.0,71.2833,2,0,1,0,1,0,0,0,0,0,1,0
1,3,22.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
0,3,16.0,39.6875,6,0,0,1,0,0,1,0,0,1,0,0
0,3,28.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,18.0,7.8542,3,0,0,1,0,0,1,0,0,1,0,0
0,1,38.0,0.0,1,1,0,1,0,0,1,0,0,0,0,1
0,3,24.0,7.7958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.7292,1,1,0,1,0,1,0,0,0,1,0,0
0,1,22.0,135.6333,1,1,0,1,1,0,0,0,0,1,0,0
0,3,24.5,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,39.0,31.275,7,0,1,0,0,0,1,0,0,0,1,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.5,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,2,44.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
0,3,21.0,7.775,1,1,0,1,0,0,1,0,0,1,0,0
1,1,15.0,211.3375,2,0,1,0,0,0,1,0,1,0,0,0
0,3,11.0,18.7875,1,1,0,1,1,0,0,0,0,1,0,0
1,1,25.0,55.4417,2,0,0,1,1,0,0,0,0,1,0,0
0,1,31.0,50.4958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.8292,1,1,0,1,0,1,0,0,0,1,0,0
1,2,2.0,26.0,3,0,1,0,0,0,1,0,1,0,0,0
0,3,22.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,2,59.0,13.5,1,1,0,1,0,0,1,0,0,1,0,0
0,1,45.0,35.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,20.0,7.8542,1,1,0,1,0,0,1,0,0,1,0,0
0,1,46.0,79.2,1,1,0,1,1,0,0,0,0,1,0,0
0,3,18.0,14.4542,2,0,1,0,1,0,0,0,1,0,0,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
1,2,42.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
0,1,50.0,28.7125,1,1,1,0,1,0,0,0,1,0,0,0
1,1,48.0,25.9292,1,1,1,0,0,0,1,0,0,0,1,0
1,2,18.0,13.0,3,0,1,0,0,0,1,0,1,0,0,0
0,3,26.0,7.8875,1,1,0,1,0,0,1,0,0,1,0,0
0,2,47.0,15.0,1,1,0,1,0,0,1,0,0,1,0,0
